Folder: our_model/outputs_animal/outputs
Image: processed_image_1.jpg, Style Loss: 3.977128
Image: processed_image_10.jpg, Style Loss: 5.597493
Image: processed_image_100.jpg, Style Loss: 4.023991
Image: processed_image_11.jpg, Style Loss: 5.089878
Image: processed_image_12.jpg, Style Loss: 3.148606
Image: processed_image_13.jpg, Style Loss: 5.469785
Image: processed_image_14.jpg, Style Loss: 4.592616
Image: processed_image_15.jpg, Style Loss: 5.026989
Image: processed_image_16.jpg, Style Loss: 5.580862
Image: processed_image_17.jpg, Style Loss: 3.087107
Image: processed_image_18.jpg, Style Loss: 6.088376
Image: processed_image_19.jpg, Style Loss: 4.189818
Image: processed_image_2.jpg, Style Loss: 5.910076
Image: processed_image_20.jpg, Style Loss: 4.000920
Image: processed_image_21.jpg, Style Loss: 3.581838
Image: processed_image_22.jpg, Style Loss: 8.031221
Image: processed_image_23.jpg, Style Loss: 5.404509
Image: processed_image_24.jpg, Style Loss: 4.446787
Image: processed_image_25.jpg, Style Loss: 4.654146
Image: processed_image_26.jpg, Style Loss: 3.914234
Image: processed_image_27.jpg, Style Loss: 4.085152
Image: processed_image_28.jpg, Style Loss: 6.704609
Image: processed_image_29.jpg, Style Loss: 6.637053
Image: processed_image_3.jpg, Style Loss: 5.621901
Image: processed_image_30.jpg, Style Loss: 6.206575
Image: processed_image_31.jpg, Style Loss: 5.830283
Image: processed_image_32.jpg, Style Loss: 5.645617
Image: processed_image_33.jpg, Style Loss: 6.284983
Image: processed_image_34.jpg, Style Loss: 4.535316
Image: processed_image_35.jpg, Style Loss: 4.216434
Image: processed_image_36.jpg, Style Loss: 4.602515
Image: processed_image_37.jpg, Style Loss: 4.923727
Image: processed_image_38.jpg, Style Loss: 5.284123
Image: processed_image_39.jpg, Style Loss: 4.569126
Image: processed_image_4.jpg, Style Loss: 4.678789
Image: processed_image_40.jpg, Style Loss: 4.014895
Image: processed_image_41.jpg, Style Loss: 4.035665
Image: processed_image_42.jpg, Style Loss: 4.779154
Image: processed_image_43.jpg, Style Loss: 4.544926
Image: processed_image_44.jpg, Style Loss: 4.489194
Image: processed_image_45.jpg, Style Loss: 5.144088
Image: processed_image_46.jpg, Style Loss: 6.691426
Image: processed_image_47.jpg, Style Loss: 4.457820
Image: processed_image_48.jpg, Style Loss: 5.399395
Image: processed_image_49.jpg, Style Loss: 5.224215
Image: processed_image_5.jpg, Style Loss: 4.195724
Image: processed_image_50.jpg, Style Loss: 5.336650
Image: processed_image_51.jpg, Style Loss: 5.954720
Image: processed_image_52.jpg, Style Loss: 4.261300
Image: processed_image_53.jpg, Style Loss: 6.008807
Image: processed_image_54.jpg, Style Loss: 5.003738
Image: processed_image_55.jpg, Style Loss: 5.384399
Image: processed_image_56.jpg, Style Loss: 4.458132
Image: processed_image_57.jpg, Style Loss: 4.192730
Image: processed_image_58.jpg, Style Loss: 5.844680
Image: processed_image_59.jpg, Style Loss: 4.537414
Image: processed_image_6.jpg, Style Loss: 5.153026
Image: processed_image_60.jpg, Style Loss: 6.524152
Image: processed_image_61.jpg, Style Loss: 6.734585
Image: processed_image_62.jpg, Style Loss: 4.408817
Image: processed_image_63.jpg, Style Loss: 5.332511
Image: processed_image_64.jpg, Style Loss: 5.449986
Image: processed_image_65.jpg, Style Loss: 4.350056
Image: processed_image_66.jpg, Style Loss: 5.705143
Image: processed_image_67.jpg, Style Loss: 5.160809
Image: processed_image_68.jpg, Style Loss: 5.833864
Image: processed_image_69.jpg, Style Loss: 6.159758
Image: processed_image_7.jpg, Style Loss: 5.651943
Image: processed_image_70.jpg, Style Loss: 4.399604
Image: processed_image_71.jpg, Style Loss: 5.544119
Image: processed_image_72.jpg, Style Loss: 5.560758
Image: processed_image_73.jpg, Style Loss: 4.259293
Image: processed_image_74.jpg, Style Loss: 6.287847
Image: processed_image_75.jpg, Style Loss: 6.069454
Image: processed_image_76.jpg, Style Loss: 4.940313
Image: processed_image_77.jpg, Style Loss: 7.159914
Image: processed_image_78.jpg, Style Loss: 4.863603
Image: processed_image_79.jpg, Style Loss: 4.646872
Image: processed_image_8.jpg, Style Loss: 5.410897
Image: processed_image_80.jpg, Style Loss: 5.669565
Image: processed_image_81.jpg, Style Loss: 5.952361
Image: processed_image_82.jpg, Style Loss: 4.017006
Image: processed_image_83.jpg, Style Loss: 4.956586
Image: processed_image_84.jpg, Style Loss: 3.925577
Image: processed_image_85.jpg, Style Loss: 5.396411
Image: processed_image_86.jpg, Style Loss: 5.842064
Image: processed_image_87.jpg, Style Loss: 4.729818
Image: processed_image_88.jpg, Style Loss: 4.443980
Image: processed_image_89.jpg, Style Loss: 4.303850
Image: processed_image_9.jpg, Style Loss: 5.368014
Image: processed_image_90.jpg, Style Loss: 4.659260
Image: processed_image_91.jpg, Style Loss: 4.711207
Image: processed_image_92.jpg, Style Loss: 5.537177
Image: processed_image_93.jpg, Style Loss: 5.363249
Image: processed_image_94.jpg, Style Loss: 5.288665
Image: processed_image_95.jpg, Style Loss: 4.980548
Image: processed_image_96.jpg, Style Loss: 4.501896
Image: processed_image_97.jpg, Style Loss: 4.137039
Image: processed_image_98.jpg, Style Loss: 4.642771
Image: processed_image_99.jpg, Style Loss: 5.386152
Average Style Loss for our_model/outputs_animal/outputs: 5.090222

